,Title,CompanyName,Rating,Location,Summary,date,Url,Details
72,Data Scientist,,,"Bengaluru, Karnataka","Understanding of data mining techniques and statistical analysis is important.Candidate should be able to analyse data and discover information, with high…",30+ days ago,https://www.indeed.com/viewjob?jk=861f65548f248b9f,"Candidate should be able to analyse data and discover information, with high level inputs from the f..."
73,Data Scientist - Web Security,Akamai,4.1,"Bengaluru, Karnataka",Reviewing customer data and developing algorithms to improve our Bot Manager product.Display problem solving skills and the ability to develop algorithms using…,30+ days ago,https://www.indeed.com/viewjob?jk=ee1a6702c182a04e,Does the opportunity to drive exceptional security for customers interest you? Would you enjoy handl...
74,Data Scientist,,,"Bengaluru, Karnataka",Build data solutions to solve business problems.A proven track record of solving problems with data.Experience managing data projects from prototype to…,30+ days ago,https://www.indeed.com/viewjob?jk=f8259efe0f107d40,"Kwalee is one of the world’s leading multiplatform game publishers, with well over 600 million downl..."
75,Trainee Data Science,,,"Bengaluru, Karnataka","Experienced professional will not be considered.Job Types: Full-time, Contract.Total work: 1 year (Preferred).",17 days ago,https://www.indeed.com/viewjob?jk=2d9eeff5da1d7b58,We are looking for Trainee in Data Science for our company.QualificationsFresher can applyExperience...
76,BCAI - Senior Data Scientist,Bosch Group,4.1,"Bengaluru, Karnataka","Mine and analyze data, applying statistical methods as necessary, discover the hidden patterns and viewing experiences to identify critical data insights.",2 days ago,https://www.indeed.com/viewjob?jk=fb3f946317523135,Company Description The Bosch Center for Artificial Intelligence (BCAI) provides services in AI tech...
77,Specialist Quantitative Analytics & Data Science,Gartner,3.7,"Bengaluru, Karnataka","Owns data profiling and assessment of data for completeness, accuracy etc.Ability to understand Data Governance policy and framework, data models, lineage,…",5 days ago,https://www.indeed.com/viewjob?jk=15851043247fdaab,What makes Gartner Research & Advisory a GREAT fit for you? When you join the world’s leading Resear...
78,Data Scientist- Marketplace,,,"Bengaluru, Karnataka","In this role, you will get to mine insights from the sea of data, build data products, and design experiments with the ability to see the real-time impact of…",30+ days ago,https://www.indeed.com/viewjob?jk=e493d754aa1e309f,"Location Bengaluru Work Type Permanent Application Posted November 5, 2020 About the Role Climb on b..."
79,Senior Data Scientist,Signify,3.7,"Bengaluru, Karnataka","Applicants will be expected to work with a diverse set of data sources, such as time series data, graph data, semi-structured and unstructured data, and build…",14 days ago,https://www.indeed.com/viewjob?jk=47a7120f2e6451a0,We’re looking for a Senior Data Scientist to join our EIM Advanced Analytics in Bangalore. Working f...
80,Computer Vision Research Scientist - Machine Learning,Mercedes-Benz Research and Development India Priva...,4.0,"Bengaluru, Karnataka","Experience working with synthetic and artificial data to solve real world problems.Experience with object classification, gesture recognition or human pose…",30+ days ago,https://www.indeed.com/viewjob?jk=941742f76d0a9755,Aufgaben Summary: The research scientist will work with a dynamic team of programmers and algorithm ...
81,Business Analytics Internship,,,"Bengaluru, Karnataka","Monitoring reports, perform competitive benchmarking, perform assigned tasks, and highlighting issues or exceptions 2.Should be proficient in SQL, R, Python.",4 days ago,https://www.indeed.com/viewjob?jk=c3e7d99bbd1a9944,"About the company: Qalara, a brand owned by MesIndus Ventures and backed by Reliance Industries, was..."
82,Decision Scientist - Driver Ops,,,"Bengaluru, Karnataka","Build self-serve data products (such as data marts) to reduce time to insights.Our data marts and dashboards fuel the product roadmaps with insights,…",16 days ago,https://www.indeed.com/viewjob?jk=48cb934b6cfb65c3,"About the Role As our Decision Scientist for the Driver Ops team, you'll focus on elevating our driv..."
83,Sr. Data Scientist / Machine learning Expert,,,"Bengaluru, Karnataka","Strong intuition for data and Keen aptitude on large scale data analysis.Dig deeper into data, understand characteristics of data, evaluate alternate models…",30+ days ago,https://www.indeed.com/viewjob?jk=ccdbda3e2dc4f1c7,"The Company You’ll Join At Bidgely, we are working to accelerate a clean energy future by enabling ..."
84,Lead NLP Data Scientist,Rakuten,3.5,"Bengaluru, Karnataka","Lead data mining and data collection procedures from different network elements.Manage a team of data scientists, machine learning engineers and full stack…",16 days ago,https://www.indeed.com/viewjob?jk=2fb01a958c573503,"Lead NLP Data Scientist responsibilities include managing the data science team, planning data scien..."
85,Assistant Manager - Data Scientist,Genpact,3.8,"Bengaluru, Karnataka","High level of intellectual curiosity about the use of data engineering and Analytics.Inviting applications for the role of AM, Data Scientist.",30+ days ago,https://www.indeed.com/viewjob?jk=7debd9515b99e8e1,"Assistant Manager - Data Scientist-BFS013819 With a startup spirit and 90,000+ curious and courageou..."
86,MASTER DATA SCIENTIST,,,"Bengaluru, Karnataka","Experience in diagnosis and prognosis of machines for early detection of signs of failure using ML techniques, using sensor data to analyze trend & patterns for…",30+ days ago,https://www.indeed.com/viewjob?jk=427e82752b40e0ee,The Data Scientist will be part of the Core Data Scientist Team. This team identifies and develops a...
87,Data Scientist II,Honeywell,3.7,"Bengaluru, Karnataka","Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs.",30+ days ago,https://www.indeed.com/viewjob?jk=46f7cad7e6153dd5,Deliver business value through Right and Fast partnership Who We Are Honeywell is a Fortune 100 comp...
88,Decision Scientist,Flipkart,4.1,"Bengaluru, Karnataka","Excellent computational, programming, data management skills.Carrying out a cost benefit comparison of various solutions, not only driven by analytical rigour…",22 days ago,https://www.indeed.com/viewjob?jk=7be6a05c89030c5c,Decision Scientist About Flipkart Flipkart is India’s largest e-commerce marketplace with a regist...
89,Sr. Data Scientist,,,"Bengaluru, Karnataka",Looking for data science researchers.Strong data structures and algorithms capabilities.Enterprise ML and deep learning usecases.Temporarily due to COVID-19.,8 days ago,https://www.indeed.com/viewjob?jk=2a3c1dce57557220,"About Company: -Couture AI Platform provides Pluggable Building Blocks to entireAI stack, which are ..."
90,Senior Data Scientist,Nielsen,3.8,"Bengaluru, Karnataka","Design, Execute and Deliver analytical studies extracting and utilizing data from multiple sources to identify new insights for internal teams.",30+ days ago,https://www.indeed.com/viewjob?jk=ee6adf18e7e14130,"About the Role: Our Data Science team is experimenting, testing, and driving major insights that imp..."
91,Senior Data Scientist - Demand Generation,,,"Bengaluru, Karnataka",This includes designing an efficient loyalty program and the best data driven communication channels for our users.,1 day ago,https://www.indeed.com/viewjob?jk=394905ede1fdc579,"About the Role As our Senior Data Scientist, you will be an integral player in the Demand and Incent..."
92,Data Scientist,CSG,3.6,"Bengaluru, Karnataka","Analyze data to develop predictive models, Identify data patterns and trends.Determine which conclusions warrant a data science project.",30+ days ago,https://www.indeed.com/viewjob?jk=cea45395b9e26f73,Essential Job Functions 20 percent of time collaborate with internal customers to identify trends an...
